OID_,osm_id,code,fclass,name,POINT_X,POINT_Y,POINT_Z
6041,1999941060,2907,camera_surveillance, ,2.2422032,48.8924669,0
8775,2813296273,2902,bench, ,2.2368912,48.8924633,0
3879,1354936704,2501,supermarket,Monoprix,2.2388368,48.8924571,0
8774,2813296271,2593,vending_any, ,2.2368752,48.8924466,0
22755,8641700148,2725,artwork,La voiture sur le lampadaire,2.2339822,48.8924384,0
5811,1956554610,2907,camera_surveillance, ,2.2439844,48.892437,0
24589,9469285584,2593,vending_any, ,2.2366352,48.8924359,0
8773,2813296270,2906,waste_basket, ,2.2368435,48.8924324,0
17489,6010240589,2902,bench, ,2.2321092,48.8924301,0
8772,2813296269,2902,bench, ,2.2370012,48.8924297,0
5788,1952414693,2907,camera_surveillance, ,2.2390327,48.8924281,0
5810,1956554607,2907,camera_surveillance, ,2.2439752,48.892425,0
5604,1930418831,2907,camera_surveillance, ,2.2345598,48.8924199,0
8771,2813296266,2906,waste_basket, ,2.2368762,48.8924176,0
5796,1955771721,2907,camera_surveillance, ,2.2391299,48.8924152,0
8770,2813296262,2701,tourist_info, ,2.2369767,48.8924077,0
17365,5934532023,2906,waste_basket, ,2.2391255,48.8924019,0
21585,7941698576,2906,waste_basket, ,2.2453623,48.8923734,0
5787,1952414686,2907,camera_surveillance, ,2.2390992,48.8923633,0
5597,1930418729,2907,camera_surveillance, ,2.2381653,48.8923421,0
5557,1921764839,2907,camera_surveillance, ,2.2439646,48.8923404,0
19590,6785537829,2906,waste_basket, ,2.2443855,48.8923391,0
17442,5994212203,2906,waste_basket, ,2.2371568,48.8923368,0
17352,5934175867,2906,waste_basket, ,2.2389867,48.892336,0
5505,1911378520,2907,camera_surveillance, ,2.2404158,48.8923355,0
5901,1984216353,2907,camera_surveillance, ,2.2337564,48.8923329,0
6042,1999941061,2907,camera_surveillance, ,2.2421107,48.8923321,0
5550,1921737508,2907,camera_surveillance, ,2.2436598,48.8923256,0
8769,2813296257,2906,waste_basket, ,2.2369087,48.892325,0
21586,7941698577,2563,car_rental,Autolib',2.2453677,48.8923241,0
8768,2813296256,2906,waste_basket, ,2.2369237,48.89232,0
5789,1952414710,2907,camera_surveillance, ,2.2393948,48.8923108,0
17364,5934176805,2906,waste_basket, ,2.2388851,48.8922946,0
18,154291007,2301,restaurant,Le Valmy (brasserie),2.2316407,48.8922925,0
24591,9469285587,2593,vending_any, ,2.2369182,48.892282,0
24590,9469285586,2593,vending_any, ,2.2369514,48.8922715,0
24581,9469285539,2593,vending_any, ,2.2373447,48.8922703,0
22183,8383788634,2725,artwork, ,2.233893,48.8922687,0
17368,5936341564,2725,artwork, ,2.2391249,48.8922684,0
24582,9469285540,2593,vending_any, ,2.237362,48.8922652,0
24583,9469285541,2593,vending_any, ,2.2373817,48.8922593,0
17363,5934176804,2906,waste_basket, ,2.2390101,48.8922553,0
8767,2813296251,2906,waste_basket, ,2.2368471,48.892233,0
19589,6785537828,2906,waste_basket, ,2.2443602,48.8922293,0
5900,1984216244,2907,camera_surveillance, ,2.2340492,48.8922274,0
5596,1930418726,2907,camera_surveillance, ,2.238519,48.8922248,0
24584,9469285542,2593,vending_any, ,2.2375432,48.8922194,0
5598,1930418752,2907,camera_surveillance, ,2.2380973,48.892214,0
24585,9469285543,2593,vending_any, ,2.2375656,48.8922126,0
24586,9469285544,2593,vending_any, ,2.2375827,48.8922034,0
17362,5934176803,2906,waste_basket, ,2.2391798,48.8922019,0
8766,2813296247,2701,tourist_info, ,2.2366813,48.8921963,0
22184,8383788635,2906,waste_basket, ,2.2345143,48.8921784,0
20168,7216259376,2902,bench, ,2.2280621,48.8921691,0
17361,5934176802,2906,waste_basket, ,2.2393126,48.8921601,0
17443,5994212208,2602,atm, ,2.2378153,48.8921562,0
24578,9466715787,2593,vending_any, ,2.2374707,48.8921465,0
24577,9466715786,2593,vending_any, ,2.2374667,48.8921408,0
8765,2813296245,2701,tourist_info, ,2.2367882,48.8921407,0
5595,1930418707,2907,camera_surveillance, ,2.2387877,48.8921387,0
5504,1911378519,2907,camera_surveillance, ,2.2404435,48.8921371,0
8764,2813296243,2902,bench, ,2.2366191,48.8921197,0
8763,2813296242,2906,waste_basket, ,2.2365955,48.8921157,0
61,205405677,2004,post_box, ,2.2423985,48.8921134,0
17439,5994166980,2907,camera_surveillance, ,2.2375036,48.8921013,0
17440,5994166981,2907,camera_surveillance, ,2.2375076,48.8921,0
17479,6009570769,2033,recycling_clothes, ,2.2298357,48.8920856,0
8762,2813296240,2902,bench, ,2.2367396,48.8920825,0
17478,6009570768,2033,recycling_clothes, ,2.2298169,48.8920789,0
8761,2813296238,2906,waste_basket, ,2.2367082,48.8920744,0
8760,2813296236,2906,waste_basket, ,2.2367466,48.8920633,0
22185,8383788636,2906,waste_basket, ,2.2345677,48.8920593,0
5552,1921737555,2907,camera_surveillance, ,2.2431918,48.8920554,0
5551,1921737546,2907,camera_surveillance, ,2.2432045,48.8920537,0
13072,4230212629,2592,vending_parking, ,2.2279858,48.8920091,0
19592,6786287548,2906,waste_basket, ,2.242337,48.8920022,0
24587,9469285582,2593,vending_any, ,2.2372069,48.8919786,0
19591,6786287547,2906,waste_basket, ,2.2424193,48.8919763,0
24588,9469285583,2593,vending_any, ,2.2372203,48.8919743,0
17480,6009570771,2907,camera_surveillance, ,2.230014,48.891938,0
